# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (g),Thrust (N)
8,0,0,-8.2852,5305.7,7.9954
8.01,0,0,-5.2713,5305.7,23.986
8.02,0,0,-2.2567,5305.2,39.977
8.03,0,0,0.75855,5304.6,55.968
8.04,3.7961e-5,0.0075939,3.7743,5304.1,71.959
8.05,3.0266e-4,0.045348,6.7907,5303.6,87.949
8.06,0.0010957,0.11327,9.8077,5303.1,103.94
8.07,0.0027189,0.21136,12.825,5302.6,119.93
8.08,0.0054738,0.33963,15.843,5302.1,135.92
8.09,0.0096624,0.49808,18.862,5301.6,151.91
8.1,0.015586,0.68673,21.881,5301.1,167.9
8.11,0.023548,0.90556,23.734,5300.6,177.71
8.12,0.03379,1.1429,23.889,5299.8,178.51
8.13,0.046414,1.3819,24.03,5298.8,179.23
8.14,0.061435,1.6222,24.173,5297.7,179.95
8.15,0.078866,1.864,24.314,5296.6,180.67
8.16,0.098722,2.1072,24.456,5295.6,181.39
8.17,0.12102,2.3518,24.598,5294.5,182.11
8.18,0.14577,2.5979,24.74,5293.4,182.83
8.19,0.17298,2.8453,24.882,5292.4,183.55
8.2,0.20268,3.0942,25.023,5291.3,184.27
8.21,0.23487,3.3445,25.165,5290.2,184.99
8.22,0.26957,3.5962,25.306,5289.2,185.7
8.23,0.3068,3.8493,25.448,5288.1,186.42
8.24,0.34657,4.1038,25.589,5287,187.14
8.25,0.38889,4.3597,25.731,5286,187.86
8.26,0.43377,4.6171,25.872,5284.9,188.58
8.27,0.48123,4.8759,26.014,5283.8,189.3
8.28,0.53129,5.1361,26.155,5282.8,190.02
8.29,0.58396,5.3977,26.297,5281.7,190.74
8.3,0.63925,5.6607,26.438,5280.6,191.46
8.31,0.69718,5.9251,26.579,5279.6,192.18
8.32,0.75776,6.191,26.721,5278.5,192.9
8.33,0.82101,6.4582,26.856,5277.4,193.59
8.34,0.88693,6.7268,26.93,5276.4,193.95
8.35,0.95555,6.9962,26.989,5275.2,194.24
8.36,1.0269,7.2661,27.049,5274.1,194.6
8.375,1.1389,7.6721,27.15,5272.7,195.13
8.3975,1.3184,8.2836,27.302,5270.6,195.94
8.4312,1.6135,9.2064,27.529,5267.4,197.14
8.4812,2.1083,10.586,27.864,5262.7,198.57
8.5312,2.6725,11.98,28.152,5257,199.95
8.5812,3.3067,13.389,28.36,5251.3,200.92
8.6312,4.0116,14.808,28.549,5245.6,201.79
8.6812,4.7878,16.237,28.737,5239.7,202.65
8.7312,5.6356,17.675,28.922,5233.9,203.52
8.7812,6.5555,19.122,28.978,5228.1,203.71
8.8312,7.5479,20.573,28.848,5222.3,202.94
8.8812,8.6126,22.016,28.713,5216.5,202.16
8.9312,9.7493,23.453,28.577,5210.7,201.38
8.9813,10.958,24.883,28.44,5204.9,200.61
9.0313,12.237,26.306,28.307,5199.1,199.87
9.0813,13.588,27.722,28.173,5193.4,199.13
9.1313,15.009,29.131,28.036,5187.6,198.4
9.1813,16.501,30.534,27.896,5181.9,197.67
9.2313,18.063,31.929,27.731,5176.2,196.82
9.2813,19.694,33.316,27.532,5170.6,195.82
9.3313,21.394,34.693,27.327,5164.9,194.81
9.3813,23.163,36.06,27.12,5159.3,193.81
9.4313,25,37.416,26.914,5153.7,192.83
9.4813,26.904,38.762,26.757,5148.2,192.13
9.5313,28.876,40.1,26.61,5142.6,191.5
9.5813,30.914,41.431,26.458,5137.1,190.86
9.6313,33.019,42.753,26.301,5131.6,190.23
9.6813,35.189,44.068,26.123,5126.2,189.5
9.7313,37.425,45.374,25.912,5120.7,188.62
9.7813,39.726,46.669,25.698,5115.3,187.74
9.8313,42.092,47.954,25.487,5109.9,186.86
9.8813,44.521,49.228,25.282,5104.5,186
9.9313,47.014,50.491,25.115,5099.1,185.33
9.9813,49.57,51.747,24.963,5093.8,184.72
10.031,52.189,52.995,24.813,5088.5,184.1
10.081,54.87,54.235,24.659,5083.2,183.48
10.131,57.612,55.468,24.489,5077.9,182.77
10.181,60.416,56.692,24.296,5072.6,181.93
10.231,63.281,57.907,24.116,5067.4,181.09
10.281,66.207,59.113,23.93,5062.2,180.25
10.331,69.192,60.31,23.737,5057,179.38
10.381,72.238,61.497,23.504,5051.8,178.29
10.431,75.342,62.672,23.269,5046.7,177.15
10.481,78.505,63.836,23.032,5041.6,176
10.531,81.725,64.988,22.788,5036.6,174.86
10.581,85.003,66.127,22.584,5031.5,173.91
10.631,88.338,67.257,22.427,5026.5,173.23
10.681,91.728,68.378,22.263,5021.5,172.56
10.731,95.175,69.491,22.096,5016.5,171.89
10.781,98.677,70.595,21.912,5011.6,171.17
10.831,102.23,71.69,21.617,5006.6,169.94
10.881,105.85,72.77,21.291,5001.8,168.57
10.931,109.51,73.834,20.966,4996.9,167.2
10.981,113.23,74.881,20.633,4992.1,165.83
11.031,117,75.912,20.321,4987.3,164.56
11.081,120.82,76.927,20.035,4982.5,163.47
11.131,124.69,77.927,19.736,4977.8,162.38
11.181,128.61,78.912,19.437,4973.2,161.29
11.231,132.58,79.882,19.142,4968.5,160.19
11.281,136.6,80.838,18.826,4963.9,159.01
11.331,140.67,81.778,18.517,4959.3,157.81
11.381,144.78,82.703,18.229,4954.8,156.6
11.431,148.94,83.614,17.95,4950.3,155.39
11.481,153.14,84.511,17.658,4945.7,154.15
11.531,157.39,85.393,17.36,4941.3,152.83
11.581,161.68,86.261,17.067,4936.9,151.5
11.631,166.01,87.114,16.78,4932.6,150.18
11.681,170.39,87.953,16.344,4928.2,148.19
11.731,174.81,88.77,14.258,4924,138.03
11.781,179.26,89.482,11.688,4920.2,125.46
11.831,183.75,90.066,9.1109,4916.8,112.89
11.881,188.27,90.521,6.5396,4913.3,100.32
11.931,192.8,90.848,4.2857,4909.9,89.326
11.981,197.35,91.062,2.5967,4907,81.103
12.031,201.9,91.191,0.92852,4904.8,72.932
