# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (g),Thrust (N)
8,0,0,-8.2852,5305.7,7.9954
8.01,0,0,-5.2713,5305.7,23.986
8.02,0,0,-2.2567,5305.2,39.977
8.03,0,0,0.75855,5304.6,55.968
8.04,3.7961e-5,0.0075939,3.7743,5304.1,71.959
8.05,3.0266e-4,0.045348,6.7907,5303.6,87.949
8.06,0.0010957,0.11327,9.8077,5303.1,103.94
8.07,0.0027189,0.21136,12.825,5302.6,119.93
8.08,0.0054738,0.33963,15.843,5302.1,135.92
8.09,0.0096624,0.49808,18.862,5301.6,151.91
8.1,0.015586,0.68673,21.881,5301.1,167.9
8.11,0.023548,0.90556,23.734,5300.6,177.71
8.12,0.03379,1.1429,23.889,5299.8,178.51
8.13,0.046414,1.3819,24.03,5298.8,179.23
8.14,0.061435,1.6222,24.172,5297.7,179.95
8.15,0.078866,1.864,24.314,5296.6,180.67
8.16,0.098722,2.1072,24.456,5295.6,181.39
8.17,0.12102,2.3518,24.598,5294.5,182.11
8.18,0.14577,2.5979,24.74,5293.4,182.83
8.19,0.17298,2.8453,24.881,5292.4,183.55
8.2,0.20268,3.0942,25.023,5291.3,184.27
8.21,0.23487,3.3444,25.165,5290.2,184.99
8.22,0.26957,3.5961,25.306,5289.2,185.7
8.23,0.3068,3.8493,25.448,5288.1,186.42
8.24,0.34657,4.1038,25.589,5287,187.14
8.25,0.38888,4.3597,25.731,5286,187.86
8.26,0.43377,4.6171,25.872,5284.9,188.58
8.27,0.48123,4.8759,26.014,5283.8,189.3
8.28,0.53129,5.1361,26.155,5282.8,190.02
8.29,0.58396,5.3977,26.297,5281.7,190.74
8.3,0.63925,5.6607,26.438,5280.6,191.46
8.31,0.69718,5.9251,26.58,5279.6,192.18
8.32,0.75776,6.1909,26.721,5278.5,192.9
8.33,0.82101,6.4582,26.856,5277.4,193.59
8.34,0.88693,6.7268,26.93,5276.4,193.95
8.35,0.95555,6.9962,26.989,5275.2,194.24
8.36,1.0269,7.2661,27.049,5274.1,194.6
8.375,1.1389,7.6721,27.15,5272.7,195.13
8.3975,1.3184,8.2836,27.301,5270.6,195.94
8.4312,1.6135,9.2063,27.527,5267.4,197.14
8.4812,2.1083,10.586,27.862,5262.7,198.57
8.5312,2.6724,11.98,28.151,5257,199.95
8.5812,3.3067,13.389,28.358,5251.3,200.92
8.6312,4.0116,14.808,28.546,5245.6,201.79
8.6812,4.7877,16.236,28.733,5239.7,202.65
8.7312,5.6354,17.674,28.917,5233.9,203.52
8.7812,6.5553,19.121,28.972,5228.1,203.71
8.8312,7.5476,20.571,28.843,5222.3,202.94
8.8812,8.6123,22.014,28.711,5216.5,202.16
8.9312,9.7489,23.451,28.576,5210.7,201.38
8.9813,10.957,24.881,28.439,5204.9,200.61
9.0313,12.237,26.304,28.306,5199.1,199.87
9.0813,13.587,27.72,28.172,5193.4,199.13
9.1313,15.009,29.129,28.034,5187.6,198.4
9.1813,16.5,30.532,27.894,5181.9,197.67
9.2313,18.062,31.927,27.728,5176.2,196.82
9.2813,19.693,33.314,27.528,5170.6,195.82
9.3313,21.393,34.691,27.321,5164.9,194.81
9.3813,23.162,36.057,27.11,5159.3,193.81
9.4313,24.998,37.413,26.9,5153.7,192.83
9.4813,26.903,38.758,26.74,5148.2,192.13
9.5313,28.874,40.095,26.587,5142.6,191.5
9.5813,30.912,41.424,26.424,5137.1,190.86
9.6313,33.016,42.745,26.258,5131.6,190.23
9.6813,35.186,44.057,26.071,5126.2,189.5
9.7313,37.422,45.36,25.854,5120.7,188.62
9.7813,39.722,46.652,25.637,5115.3,187.74
9.8313,42.087,47.934,25.419,5109.9,186.86
9.8813,44.515,49.204,25.21,5104.5,186
9.9313,47.007,50.464,25.04,5099.1,185.33
9.9813,49.561,51.716,24.882,5093.8,184.72
10.031,52.178,52.96,24.735,5088.5,184.1
10.081,54.857,54.197,24.596,5083.2,183.48
10.131,57.598,55.427,24.436,5077.9,182.77
10.181,60.4,56.649,24.255,5072.6,181.93
10.231,63.262,57.862,24.081,5067.4,181.09
10.281,66.186,59.066,23.916,5062.2,180.25
10.331,69.169,60.263,23.741,5057,179.38
10.381,72.212,61.45,23.518,5051.8,178.29
10.431,75.314,62.626,23.289,5046.7,177.15
10.481,78.474,63.791,23.053,5041.6,176
10.531,81.692,64.944,22.811,5036.6,174.86
10.581,84.968,66.085,22.602,5031.5,173.91
10.631,88.301,67.215,22.44,5026.5,173.23
10.681,91.689,68.336,22.276,5021.5,172.56
10.731,95.134,69.45,22.099,5016.5,171.89
10.781,98.634,70.554,21.904,5011.6,171.17
10.831,102.19,71.648,21.602,5006.6,169.94
10.881,105.8,72.727,21.269,5001.8,168.57
10.931,109.46,73.79,20.926,4996.9,167.2
10.981,113.18,74.835,20.584,4992.1,165.83
11.031,116.94,75.863,20.265,4987.3,164.56
11.081,120.76,76.875,19.98,4982.5,163.47
11.131,124.63,77.872,19.692,4977.8,162.38
11.181,128.55,78.856,19.4,4973.2,161.29
11.231,132.52,79.825,19.131,4968.5,160.19
11.281,136.53,80.78,18.844,4963.9,159.01
11.331,140.59,81.722,18.548,4959.3,157.81
11.381,144.7,82.648,18.262,4954.8,156.6
11.431,148.86,83.561,17.981,4950.3,155.39
11.481,153.06,84.459,17.693,4945.7,154.15
11.531,157.3,85.343,17.384,4941.3,152.83
11.581,161.59,86.212,17.093,4936.9,151.5
11.631,165.93,87.067,16.786,4932.6,150.18
11.681,170.3,87.905,16.337,4928.2,148.19
11.731,174.72,88.721,14.241,4924,138.03
11.781,179.17,89.432,11.659,4920.2,125.46
11.831,183.66,90.015,9.0754,4916.8,112.89
11.881,188.17,90.468,6.5042,4913.3,100.32
11.931,192.7,90.793,4.2576,4909.9,89.326
11.981,197.24,91.005,2.5594,4907,81.103
12.031,201.8,91.132,0.88943,4904.8,72.932
